book No	Author	Alternate name (i.e.  Order Name)	Translator	Title	Sub-title	Year of Publication	Publisher	Place	Edition	Subject	Class 1	Class 2	Class 3	Keywords	Synopsis	Notes	ISBN	Medium	Copies	
1	"Ahir, D. C. (ed)"			Dr. Ambedkar on Buddhism		1982	People's Education Society	Bombay		Ambedkar	AMB	AHI	DrA					Book	1	
2	"Ahir, D. C. (ed)"			Dr. Ambedkar on Buddhism		1982	People's Education Society	Bombay		Ambedkar	AMB	AHI	DrA					Book	1	
3	"Ambedkar, B R"			Annihilation of Caste	Intro by Arundhati Roy	2014	Verso 				AMB	AMB	ANN					Hardback	1	
4	"Ambedkar, B. R. (Dr)"			Buddha and the Future of His Religion		1980	Bheem Patrika Publications	Jullundur	3	Ambedkar	AMB	AMB	BUD					Pamphlet	1	
5	"Ambedkar, B. R. (Dr)"			Buddha or Karl Marx			Critical Quest	New Delhi		Ambedkar	AMB	AMB	BUD				81-89524-01-1	Pamphlet	1	
6	"Ambedkar, B. R. (Dr)"			The Buddha and His Dhamma		1997	Buddha Bhoomi Publication	Taipei		Ambedkar	AMB	AMB	BUD					Book	1	
7	"Ambedkar, B. R. (Dr)"			Mr Gandhi & the Emancipation of the Untouchables		2006	Critical Quest	New Delhi	First published 1943	Ambedkar	AMB	AMB	MrG					Pamphlet	1	
8	"Ambedkar, B. R. (Dr)"			Philosophy of Hinduism		2010	Critical Quest	New Delhi		Ambedkar	AMB	AMB	PHI				978-81-89524-59-3	Pamphlet	1	
9	"Ambedkar, B. R. (Dr)"			What the Buddha Taught		2009	Critical Quest	New Delhi		Ambedkar	AMB	AMB	WHA				978-81-89524-43-2	Pamphlet	1	
10	"Ambedkar, B. R. (Dr)"			Writings and Speeches	Vol.3	1987	Government of Maharashtra	Pune		Ambedkar	AMB	AMB	WRI					Hardback book	1	
11	"Ambedkar, B. R. (Dr)"			Writings and Speeches	Vol.12	1993	Government of Maharashtra	Pune		Ambedkar	AMB	AMB	WRI						1	
12	Dangle Arjun (ed)			A Corpse in the Well		1992	Disha Books				AMB	COR	DAN				0-86311-285-4	paperback	1	
13	"Deshpande, S. R. (Shri)"			Ambedkar. A Champion of Human Rights		1990	Sadanand Bhise	Thane		Ambedkar	AMB	DES	AMB					Book	1	
14	"Fernandes, Lancy & Bhatkal, Satyajit"			The Fractured Civilisation	Caste Society in the throes of change	1999	Bharatiya Janwadi Aghadi				AMB	FRA	FER					paperback	1	
15	Dangle Arjun (ed)			Homeless in my Land		1992	Disha Books				AMB	HOM	DAN				0-86311-286-2	paperback	1	
16	"Keer, Dhananjay"			Dr Ambedka;r Life & Mission		1990	Popular Prakashan				AMB	KEE	DrA				8-61321456	Hardback	1	
17	Dangle Arjun (ed)			No Entry for the New Sun		1992	Disha Books				AMB	NOE	DAN				0-86311-284-6	paperback	1	
18	"Pai, Anat"			Babasaheb Ambedkar			India Book House Education Trust	Bombay		Ambedkar	AMB	PAI	BAB					Comic	1	
19	Dangle Arjun (ed)			Poisoned Bread		1992	Sangam Books				AMB	POI	DAN				0-86311-254-4	hardback	1	
20	"Shourie, Arun"		Padmakara Translation Group	Worshipping False Gods	"Ambedkar,and the facts which have been erased"	2010	Rupa & co	New Delhi		Ambedkar	AMB	SHO	WOR				81-291-0579-9	Book	1	
21	TBM			Buddhavani	Balak Bhiva. Life of Dr. Bhimrao Ambedkar. Part 1	11-Oct	Aryaloka Animation	Nagpur		Ambedkar	AMB	TBM	BUD					Comic	1	
22	"Anand, Mulk Ray"			Untouchable		1970	Copp Clark Publishers				AMB	UNT	ANA				0-370-01409-x	paperback	1	
23	"Zelliot, Eleanor"			Gandhi and Ambedkar	A Study in Leadership	1983	Triratna Grantha Mala			Non Triratna authors	AMB	ZEL	GAN					Pamphlet	1	
24	"Omvedt, Gail"			Ambedkar	Towards an Enlightened India	2004	Penguin Books	New Delhi		Ambedkar	AMB 	OMV	AMB					Book	1	
